,id,content
0,{N9X0-P3SX99UT-3623QQUN},"[(66, 0.9679455)]"
1,{F5G8-U4KL36AB-1579CZGX},"[(33, 0.96795404)]"
2,{U8D2-M5FH65BW-3939CQIC},"[(49, 0.85321474), (60, 0.036175866), (95, 0.094381735)]"
3,{A5X6-X3KN62LU-5816QTBZ},"[(20, 0.01538739), (29, 0.40261957), (58, 0.07706008), (84, 0.48398328)]"
4,{Q8R5-A2WJ20NG-9108MVZX},"[(46, 0.52001196), (83, 0.45599502)]"
5,{H6Z8-D4DO31VN-1937TSUR},"[(6, 0.9834381)]"
6,{S6S2-U4KM07MU-0415ERQR},"[(16, 0.12511533), (82, 0.21547167), (96, 0.63824636)]"
7,{D5Y7-N8WT17RZ-6974OQIK},"[(96, 0.9742351)]"
8,{K3R4-M9ON71VM-3656IFCC},"[(7, 0.46844035), (20, 0.010154554), (35, 0.5006903)]"
9,{X9S4-E5AM60QL-3579YLZU},"[(77, 0.96687955)]"
10,{I5O6-L8YC61LN-7744KUGS},"[(5, 0.23438005), (66, 0.74231)]"
11,{G1M2-E2RD56WF-8269JESR},"[(5, 0.1047581), (40, 0.8743125)]"
12,{F1M4-K3OC11BI-8851VPVJ},"[(68, 0.9668769)]"
13,{I7V9-P0KQ65SH-5214OFIS},"[(46, 0.67366356), (72, 0.3077789)]"
14,{Q9Q9-M5SE19IE-0597YJQV},"[(29, 0.9731496)]"
15,{A3K2-K7SZ30AR-8291OTAT},"[(56, 0.19188939), (64, 0.44902393), (68, 0.34338182)]"
16,{T5L8-L0YV32EL-2265FGMR},"[(38, 0.97634065)]"
17,{H1Q7-J0QF92DK-9151KTCM},"[(93, 0.98343986)]"
18,{Z9S8-D1VC82QF-9806OQRZ},"[(40, 0.8417322), (63, 0.14070313)]"
19,{G8I6-X7GE97HW-7849UCNT},"[(31, 0.09839647), (47, 0.0781345), (98, 0.8069665)]"
20,{U2M6-I1ZR76NQ-6900VYFR},"[(10, 0.67682695), (16, 0.29584736)]"
21,{U2I7-Z3UM55KV-5792VBWH},"[(5, 0.42163733), (51, 0.5510388)]"
22,{D8F8-A2ZS75BH-5654MTST},"[(15, 0.26274908), (36, 0.3637581), (49, 0.3572651)]"
23,{V3U4-F6ZS32SR-3251EWFU},"[(39, 0.97741437)]"
24,{W1J3-W4BA65GJ-2050CVKR},"[(57, 0.781671), (87, 0.19433694)]"
25,{D8K4-H7FP65IC-6656JSJB},"[(14, 0.9757637)]"
26,{D7W7-K5OZ94UY-4257PUOH},"[(69, 0.29052117), (75, 0.6876188)]"
27,{V6V1-F3SD50YZ-8731EUJZ},"[(51, 0.23786792), (62, 0.33132386), (65, 0.07340773), (86, 0.33598587)]"
28,{A0S4-K2AD21CH-3341WLAB},"[(9, 0.73117906), (23, 0.070034936), (79, 0.17665653)]"
29,{I5M4-C6GV06BE-9517OJTE},"[(11, 0.118812315), (12, 0.3937723), (69, 0.46528694)]"
30,{F0V2-T4LH23JK-6501HSQC},"[(17, 0.64456594), (30, 0.3400155)]"
31,{Y8D8-L9ON17KV-2180HVFY},"[(10, 0.32111424), (38, 0.6162303), (50, 0.04790261)]"
32,{V8P8-H0PJ40ZN-4942OSBA},"[(68, 0.012512423), (78, 0.9681993)]"
33,{D7B6-Q0SF05YK-2278UNEW},"[(34, 0.62885153), (42, 0.02150287), (46, 0.3309221)]"
34,{L7R8-H4EX24BI-0333QQFN},"[(10, 0.05883765), (71, 0.9218741)]"
35,{Y0W8-M7LM35EF-8027MYDX},"[(38, 0.22552751), (79, 0.7555568)]"
36,{I9T8-F5XM72DQ-8778SVQD},"[(10, 0.71146363), (74, 0.2666767)]"
37,{G8Y6-P2XN88IH-5276BTNW},"[(17, 0.2502712), (49, 0.72630656)]"
38,{V1W7-J3ZG91BK-6598LFZG},"[(34, 0.78492504), (46, 0.19578625)]"
39,{K8P5-Q4YE59WO-1397GQAQ},"[(18, 0.424502), (23, 0.5520764)]"
40,{D1P2-D5PH65DW-7254GTJC},"[(18, 0.31310928), (24, 0.6676033)]"
41,{O6D0-R8WZ24SS-2826IFFX},"[(30, 0.08397487), (35, 0.83799875), (59, 0.058934126)]"
42,{K0N6-B8RX53LZ-8969SZKJ},"[(18, 0.9257996), (70, 0.054912414)]"
43,{A4N6-S9ZA59TB-2139DGTB},"[(75, 0.84596366), (96, 0.12493196)]"
44,{P4P1-U7OU80TX-5287DXSJ},"[(87, 0.972401)]"
45,{D6I5-R5CB57LJ-6237FKHA},"[(17, 0.18923427), (80, 0.35766482), (94, 0.42875808)]"
46,{J1G5-B1GL34KD-9584RSEB},"[(12, 0.056776635), (35, 0.9246653)]"
47,{T4O6-I7BA21HK-8599SLUK},"[(10, 0.5939235), (22, 0.3192521), (77, 0.062481232)]"
48,{P1U4-N6VK63PW-3615KUOV},"[(35, 0.5574824), (44, 0.07947811), (58, 0.25468412), (67, 0.09017474)]"
49,{G7B0-O1NE88DX-5113GNYK},"[(7, 0.37008306), (12, 0.6033317)]"
50,{R3V0-V9MW03IN-4049CBVL},"[(12, 0.83975106), (58, 0.059874896), (99, 0.07662616)]"
51,{F1E6-N2UG52HD-7468ISNE},"[(30, 0.42758498), (99, 0.5458277)]"
