user,day,action_id,content
AAB1302,2010-01-02,,
AAB1302,2010-01-03,,
AAB1302,2010-01-04,,
AAG1136,2010-01-02,,
AAG1136,2010-01-03,,
AAG1136,2010-01-04,,
AAW0914,2010-01-02,,
AAW0914,2010-01-03,,
AAW0914,2010-01-04,,
ACA1126,2010-01-02,,
ACA1126,2010-01-03,,
ACA1126,2010-01-04,,
ACC0950,2010-01-02,"[16, 16, 16, 16, 16, 16, 16, 16]","['[(10, 0.47899285), (98, 0.4911997)]', '[(8, 0.9698906)]', '[(14, 0.7880931), (15, 0.1926182)]', '[(88, 0.17772481), (89, 0.80298615)]', '[(71, 0.4615954), (75, 0.46146265), (93, 0.062409524)]', '[(4, 0.11465836), (7, 0.38500994), (43, 0.4857998)]', '[(44, 0.080326036), (70, 0.71763504), (99, 0.18465187)]', '[(70, 0.10247725), (86, 0.10961492), (98, 0.77052057)]']"
ACC0950,2010-01-03,,
ACC0950,2010-01-04,,
ACD1174,2010-01-02,,
ACD1174,2010-01-03,,
ACD1174,2010-01-04,,
ACJ1797,2010-01-02,"[18, 18, 16, 16]","['[(3, 0.54504967), (99, 0.43908617)]', '[(94, 0.9839738)]', '[(43, 0.977919)]', '[(44, 0.38736147), (66, 0.29047707), (67, 0.30052516)]']"
ACJ1797,2010-01-03,,
ACJ1797,2010-01-04,,
ADR1156,2010-01-02,,
ADR1156,2010-01-03,,
ADR1156,2010-01-04,,
AEG0962,2010-01-02,"[16, 16, 16, 16, 6, 6, 6, 6, 6, 6, 16, 16, 16, 16, 6, 6, 16, 16, 6, 6, 16, 16, 6, 6, 6, 6, 16, 16]","['[(16, 0.74047095), (51, 0.14952958), (96, 0.08883176)]', '[(5, 0.67010796), (33, 0.11745408), (61, 0.19127104)]', '[(99, 0.9670116)]', '[(23, 0.025695814), (59, 0.67792225), (92, 0.27474666)]', '[(0, 0.3845261), (18, 0.5979068)]', '[(2, 0.22935686), (70, 0.7530796)]', '[(30, 0.9220124), (91, 0.047249123)]', '[(84, 0.96894884)]', '[(3, 0.6148323), (63, 0.07715525), (79, 0.2889227)]', '[(53, 0.70540005), (74, 0.053464435), (90, 0.22204551)]', '[(15, 0.6061855), (53, 0.3709378)]', '[(75, 0.2935864), (84, 0.68353766)]', '[(1, 0.6109145), (10, 0.35733247), (38, 0.011467356)]', '[(37, 0.9793004)]', '[(28, 0.8236789), (98, 0.15446077)]', '[(5, 0.58524394), (50, 0.36948594), (96, 0.023630241)]', '[(0, 0.03970531), (2, 0.058329552), (61, 0.23437934), (67, 0.38376063), (88, 0.270581)]', '[(16, 0.14310062), (30, 0.8357293)]', '[(35, 0.97452396)]', '[(7, 0.9745221)]', '[(74, 0.67139244), (90, 0.29880074)]', '[(52, 0.29929185), (53, 0.67089933)]', '[(10, 0.11746942), (17, 0.39728415), (78, 0.47003317)]', '[(5, 0.1261993), (81, 0.8584309)]', '[(15, 0.97839713)]', '[(23, 0.71133274), (75, 0.26728532)]', '[(16, 0.122580536), (62, 0.36184934), (85, 0.4952847)]', '[(59, 0.3329836), (79, 0.6465233)]']"
AEG0962,2010-01-03,,
AEG0962,2010-01-04,,
AEM0113,2010-01-02,,
AEM0113,2010-01-03,,
AEM0113,2010-01-04,,
AFC0792,2010-01-02,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]","['[(32, 0.07167083), (55, 0.8298382), (78, 0.08303677)]', '[(31, 0.5180056), (54, 0.46638113)]', '[(63, 0.5713488), (83, 0.40465856)]', '[(24, 0.7759612), (39, 0.20004445)]', '[(26, 0.27299413), (64, 0.07656711), (99, 0.6317136)]', '[(84, 0.7717753), (91, 0.20930867)]', '[(17, 0.07021732), (81, 0.9112224)]', '[(68, 0.9812536)]', '[(1, 0.39914766), (7, 0.4418651), (9, 0.13989657)]', '[(15, 0.9805154)]', '[(38, 0.98125196)]', '[(24, 0.15430969), (25, 0.15454163), (97, 0.6727792)]', '[(5, 0.6553332), (51, 0.06104673), (96, 0.26524872)]', '[(35, 0.44682428), (37, 0.05356138), (53, 0.48124412)]']"
AFC0792,2010-01-03,,
AFC0792,2010-01-04,,
AGB0447,2010-01-02,,
AGB0447,2010-01-03,,
AGB0447,2010-01-04,,
